death_number,name,cause_of_death,died_in_season,died_in_episode_title,died_in_episode_number
65,Caster,killed by Karl Tanner,Season 3,And Now His Watch is Ended ,Episode 4
66,Jeor Mormont,killed by Rast,Season 3,And Now His Watch is Ended ,Episode 4
67,Kraznys mo Nakloz,Killed by dragon,Season 3,And Now His Watch is Ended ,Episode 4
68,Willen Lannister,killed by Richard Karstark,Season 3,Kissed by Fire ,Episode 5
69,Martyn Lannister,killed by Richard Karstark,Season 3,Kissed by Fire ,Episode 5
70,Richard Karstark,Executed by Robb Stark,Season 3,Kissed by Fire ,Episode 5
71,Ros,killed by Joffrey,Season 3,The Climb ,Episode 6
72,Mero,Killed by Daario Naharis,Season 3,Second Sons ,Episode 8
73,Prendahl na Ghezn,Killed by Daario Naharis,Season 3,Second Sons ,Episode 8
74,White Walker,White Walker,Season 3,Second Sons ,Episode 8
75,Old Man,Killed by Ygritte,Season 3,The Rains of Castamere ,Episode 9
76,Orell,Killed by Jon Snow,Season 3,The Rains of Castamere ,Episode 9
77,Talisa Stark,killed by Lorthar Frey,Season 3,The Rains of Castamere ,Episode 9
78,Robb Stark,Killed by Roose Bolton,Season 3,The Rains of Castamere ,Episode 9
79,Joyeuse Erenford,killed by Catelyn Stark,Season 3,The Rains of Castamere ,Episode 9
80,Catelyn Stark,Killed by Walder Rivers,Season 3,The Rains of Castamere ,Episode 9
81,Frey Soldier,Killed by Arya Stark,Season 3,Mhysa ,Episode 10
82,lowell,Killed by the Hound,Season 4,Two Swords ,Episode 1
83,Polliver,Killed by Arya Stark,Season 4,Two Swords ,Episode 1
84,Tansy,Killed by Ramsey's Dogs,Season 4,The Lion and the Rose ,Episode 2
85,Axell Florent,Burned alive by Melisandre,Season 4,The Lion and the Rose ,Episode 2
86,Joffrey Baratheon,Poisoned by Olenna Tyrell,Season 4,The Lion and the Rose ,Episode 2
87,Dontos Hollar,killed by Petyr Baelish's men,Season 4,Breaker of Chains ,Episode 3
88,Guymon,Killed by Ygritte,Season 4,Breaker of Chains ,Episode 3
89,Olly's Mother,Killed by Styr,Season 4,Breaker of Chains ,Episode 3
90,Oznak zo Pahl,Killed by Daario Naharis,Season 4,Breaker of Chains ,Episode 3
91,Great Master,killed slaves in uprising,Season 4,Oathkeeper ,Episode 4
92,Locke, Killed Bran Stark while warging into Hodor,Season 4,First of His Name ,Episode 5
93,Karl Tanner,Killed by Jon Snow,Season 4,First of His Name ,Episode 5
94,Rast,Killed by Jon Snow's wolf,Season 4,First of His Name ,Episode 5
95,Dying Man,Mercy killed by the Hound,Season 4,Mockingbird ,Episode 7
96,Biter,Killed by the Hound,Season 4,Mockingbird ,Episode 7
97,Rorge,Killed by Arya Stark,Season 4,Mockingbird ,Episode 7
98,Lysa Arryn,Pushed through the moon door by Littlefinger,Season 4,Mockingbird ,Episode 7
99,Mole's Town whore,Killed by Ygritte,Season 4,The Mountain and the Viper ,Episode 8
100,Ralf Kenning,killed by Adrack Humble,Season 4,The Mountain and the Viper ,Episode 8
101,Adrack Humble,Killed by Ramsay Snow's men,Season 4,The Mountain and the Viper ,Episode 8
102,Oberyn Martell,Killed by the Mountain,Season 4,The Mountain and the Viper ,Episode 8
103,Pypar,Killed by Ygritte,Season 4,The Watchers on the Wall ,Episode 9
104,Thenn warg,Killed by Samwell Tarly,Season 4,The Watchers on the Wall ,Episode 9
105,Dongo,killed by Black Brothers,Season 4,The Watchers on the Wall ,Episode 9
106,Smitty,Fell of the wall,Season 4,The Watchers on the Wall ,Episode 9
107,Styr,Killed by Jon Snow,Season 4,The Watchers on the Wall ,Episode 9
108,Ygritte,Killed by Olly,Season 4,The Watchers on the Wall ,Episode 9
109,Mag Mar Tun Doh Weg,killed by Grenn and 5 other black brothers,Season 4,The Watchers on the Wall ,Episode 9
110,Grenn,Killed by Mag Mar Tun Doh Weg,Season 4,The Watchers on the Wall ,Episode 9
111,Cooper,Killed by Mag Mar Tun Doh Weg,Season 4,The Watchers on the Wall ,Episode 9
112,Done Hill,Killed by Mag Mar Tun Doh Weg,Season 4,The Watchers on the Wall ,Episode 9
113,Zalla,killed by Dragon,Season 4,The Children ,Episode 10
114,Jojen Reed,Killed by wight,Season 4,The Children ,Episode 10
115,Shae,Killed by Tyrion Lannister,Season 4,The Children ,Episode 10
116,Tywin Lannister,killed by Tyrion Lannister,Season 4,The Children ,Episode 10
117,White Rat,Killed by a member of the Sons of the Harpy,Season 5,The Wars to Come ,Episode 1
118,Mance Rayder,Mercy killed by Jon Snow,Season 5,The Wars to Come ,Episode 1
119,Son of Harpy,Killed by Mossador,Season 5,The House of Black and White ,Episode 2
120,Mossador,Executed by Daario Naharis,Season 5,The House of Black and White ,Episode 2
121,Janos Slynt,Executed by Jon Snow,Season 5,High Sparrow ,Episode 3
122,Lead Dornish guard,Killed by Bronn,Season 5,Sons of the Harpy ,Episode 4
123,Merchant captain,Killed by Obara Sand,Season 5,Sons of the Harpy ,Episode 4
124,Ser Barristan Selmy,Killed by Sons of Harpy,Season 5,Sons of the Harpy ,Episode 4
125,Great Master,Killed by dragon,Season 5,Kill the Boy ,Episode 5
126,Ghita,Posioned with water from House of Black and White by Arya ,Season 5,"Unbowed, Unbent, Unbroken ",Episode 6
127,Master Aemon,Died of natural causes,Season 5,The Gift ,Episode 7
128,Old Woman,Killed by Ramsay Bolton,Season 5,The Gift ,Episode 7
129,Lord of Bones,killed by Tormund,Season 5,Hardhome ,Episode 8
130,Loboda,Killed by White Walker,Season 5,Hardhome ,Episode 8
131,White Walker,killed by Jon Snow,Season 5,Hardhome ,Episode 8
132,Karsi,Killed by a pack of child-wights,Season 5,Hardhome ,Episode 8
133,Shrine Baratheon,Burned alive as a sacrifice by Melisandre,Season 5,The Dance of Dragons ,Episode 9
134,Hizdahr zo Loraq,Killed by son of Harpy,Season 5,The Dance of Dragons ,Episode 9
135,Selyse Baratheon,Suicide by hanging,Season 5,Mother's Mercy ,Episode 10
136,Stannis Baratheon,Killed by Brienne of Tarth,Season 5,Mother's Mercy ,Episode 10
137,Myranda,Killed by Theon Greyjoy,Season 5,Mother's Mercy ,Episode 10
138,Meryn Trant,Killed by Arya Stark,Season 5,Mother's Mercy ,Episode 10
139,Myrcella Baratheon,poisoned by Ellaria Sand ,Season 5,Mother's Mercy ,Episode 10
140,Jon Snow,Killed by Black brothers (Later Resurrected),Season 5,Mother's Mercy ,Episode 10
141,Bolton officer,Killed by Brienne of Tarth,Season 6,The Red Woman ,Episode 1
142,Areo Hotah,Stabbed in the back by Tyene Sand,Season 6,The Red Woman ,Episode 1
143,Doran Martell,killed by Ellaria Sand,Season 6,The Red Woman ,Episode 1
144,Master Caleotte,killed by Tyene Sand,Season 6,The Red Woman ,Episode 1
145,Trystane Martell,killed by Obara Sand,Season 6,The Red Woman ,Episode 1
146,King's Landing boaster,Killed by The Mountain,Season 6,Home ,Episode 2
147,Roose Bolton,Killed by Ramsay Bolton,Season 6,Home ,Episode 2
148,Walda Bolton,Killed by Ramsay Bolton,Season 6,Home ,Episode 2
149,Newborn Bolton,Killed by Ramsay Bolton,Season 6,Home ,Episode 2
150,Balon Greyjoy,Thrown from a bridge by Euron Greyjoy,Season 6,Home ,Episode 2
151,Gerold Hightower,killed by Ned Stark,Season 6,Oathbreaker ,Episode 3
152,Arthur Dayne,killed by Ned Stark,Season 6,Oathbreaker ,Episode 3
153,Jon Umber,Died during the War of the Five Kings,Season 6,Oathbreaker ,Episode 3
154,Bowen Marsh,Executed by Jon Snow,Season 6,Oathbreaker ,Episode 3
155,Othell Yarwyck,Executed by Jon Snow,Season 6,Oathbreaker ,Episode 3
156,Alliser Thorne,Executed by Jon Snow,Season 6,Oathbreaker ,Episode 3
157,Olly,Executed by Jon Snow,Season 6,Oathbreaker ,Episode 3
158,Iggo,killed by Daario Naharis,Season 6,Book of the Stranger ,Episode 4
159,Akho,killed by Daario Naharis,Season 6,Book of the Stranger ,Episode 4
160,Osha,killed by Ramsay Bolton,Season 6,Book of the Stranger ,Episode 4
161,Moro and 9 other Khals,Burned alive by Daenery,Season 6,Book of the Stranger ,Episode 4
162,White Walker,killed by Meera Reed,Season 6,The Door ,Episode 5
163,Three-eyed raven,killed by the Night King,Season 6,The Door ,Episode 5
164,Leaf,suicide by activating an explosive device taking out wights,Season 6,The Door ,Episode 5
165,Hodor,Torn apart by wights,Season 6,The Door ,Episode 5
166,Aerys Targaryen,Killed by Jaime Lannister,Season 6,Blood of My Blood ,Episode 6
167,Maege Mormont,Died during the War of the Five Kings,Season 6,The Broken Man ,Episode 7
168,Brother Ray & villagers,killed by rogue members of the Brotherhood Without Banners,Season 6,The Broken Man ,Episode 7
169,Steve,killed by Sandor Clegane,Season 6,No One ,Episode 8
170,Riddell,killed by Sandor Clegane,Season 6,No One ,Episode 8
171,Morgan,killed by Sandor Clegane,Season 6,No One ,Episode 8
172,Gatins,killed by Sandor Clegane,Season 6,No One ,Episode 8
173,Faith Militant,killed by The Mountain,Season 6,No One ,Episode 8
174,Brynden Tully,killed by Lannister soldier,Season 6,No One ,Episode 8
175,Outlaw,killed by Sandor Clegane,Season 6,No One ,Episode 8
176,Lem Lemoncloak,killed by Sandor Clegane,Season 6,No One ,Episode 8
177,Outlaw,Hung by Brotherhood Without Banners,Season 6,No One ,Episode 8
178,Lady Crane,Killed by the Waif ,Season 6,No One ,Episode 8
179,The Waif ,Kill by Arya Stark,Season 6,No One ,Episode 8
180,Belicho Paenymion,killed by Grey Worm,Season 6,Battle of the Bastards ,Episode 9
181,Razdal mo Eraz,killed by Grey Worm,Season 6,Battle of the Bastards ,Episode 9
182,Rickon Stark,Shot with an Arrow fired by Ramsay Bolton,Season 6,Battle of the Bastards ,Episode 9
183,Smalljon Umber,killed by Tormund,Season 6,Battle of the Bastards ,Episode 9
184,Wun Weg Wun Dar Wun,Shot with an Arrow fired by Ramsay Bolton,Season 6,Battle of the Bastards ,Episode 9
185,Ramsay Bolton,Eaten alive by his own dogs,Season 6,Battle of the Bastards ,Episode 9
186,Grand Maester Pycelle,killed by kids,Season 6,The Winds of Winter ,Episode 10
187,Lancel Lannister,killed by wildfire,Season 6,The Winds of Winter ,Episode 10
188,High Sparrow,killed by wildfire,Season 6,The Winds of Winter ,Episode 10
189,Margaery Tyrell,killed by wildfire,Season 6,The Winds of Winter ,Episode 10
190,Loras Tyrell,killed by wildfire,Season 6,The Winds of Winter ,Episode 10
191,Mace Tyrell,killed by wildfire,Season 6,The Winds of Winter ,Episode 10
192,Kevan Lannister,killed by wild fire,Season 6,The Winds of Winter ,Episode 10
193,Tommen Baratheon,Suicide by juming out a window,Season 6,The Winds of Winter ,Episode 10
194,Walder Rivers,killed by Arya Star,Season 6,The Winds of Winter ,Episode 10
195,Lothar Frey,killed by Arya Star,Season 6,The Winds of Winter ,Episode 10
196,Walder Frey,killed by Arya Stark,Season 6,The Winds of Winter ,Episode 10
